player_name,team,position,player_pick
Ladainian Tomlinson,SDC,RB,1
Adrian Peterson,MIN,RB,2
Brian Westbrook,PHI,RB,3
Tom Brady,NEP,QB,4
Joseph Addai,IND,RB,5
Steven Jackson,STL,RB,6
Randy Moss,NEP,WR,7
Marion Barber,DAL,RB,8
Frank Gore,SFO,RB,9
Peyton Manning,IND,QB,10
Clinton Portis,WAS,RB,11
Marshawn Lynch,BUF,RB,12
Terrell Owens,DAL,WR,13
Tony Romo,DAL,QB,14
Reggie Wayne,IND,WR,15
Larry Johnson,KCC,RB,16
Braylon Edwards,CLE,WR,17
Drew Brees,NOS,QB,18
Maurice Jones-Drew,JAC,RB,19
Larry Fitzgerald,ARI,WR,20
Ryan Grant,GBP,RB,21
Andre Johnson,HOU,WR,22
Marques Colston,NOS,WR,23
T.J. Houshmandzadeh,CIN,WR,24
Reggie Bush,NOS,RB,25
Jamal Lewis,CLE,RB,26
Willis McGahee,BAL,RB,27
Carson Palmer,CIN,QB,28
Steve Smith,CAR,WR,29
Plaxico Burress,NYG,WR,30
Chad Ocho Cinco,CIN,WR,31
Ben Roethlisberger,PIT,QB,32
Wes Welker,NEP,WR,33
Torry Holt,STL,WR,34
Darren McFadden,OAK,RB,35
Brandon Jacobs,NYG,RB,36
Laurence Maroney,NEP,RB,37
Willie Parker,PIT,RB,38
Jason Witten,DAL,TE,39
Brandon Marshall,DEN,WR,40
Anquan Boldin,ARI,WR,41
Michael Turner,ATL,RB,42
Santonio Holmes,PIT,WR,43
Antonio Gates,SDC,TE,44
Calvin Johnson,DET,WR,45
Roy Williams,DAL,WR,46
Earnest Graham,TBB,RB,47
Thomas Jones,NYJ,RB,48
Derek Anderson,CLE,QB,49
Kellen Winslow,CLE,TE,50
Donovan McNabb,PHI,QB,51
Greg Jennings,GBP,WR,52
Marvin Harrison,IND,WR,53
Jerricho Cotchery,NYJ,WR,54
Edgerrin James,ARI,RB,55
Tony Gonzalez,KCC,TE,56
Dallas Clark,IND,TE,57
Selvin Young,DEN,RB,58
Matt Hasselbeck,SEA,QB,59
Ronnie Brown,MIA,RB,60
Hines Ward,PIT,WR,61
Lee Evans,BUF,WR,62
Jonathan Stewart,CAR,RB,63
Laveranues Coles,NYJ,WR,64
Dwayne Bowe,KCC,WR,65
Jay Cutler,DEN,QB,66
LenDale White,TEN,RB,67
Chris Cooley,WAS,TE,68
Roddy White,ATL,WR,69
Matt Forte,CHI,RB,70
Chris Chambers,SDC,WR,71
Kevin Smith,DET,RB,72
Jeremy Shockey,NOS,TE,73
Julius Jones,SEA,RB,74
Eli Manning,NYG,QB,75
Donald Driver,GBP,WR,76
Santana Moss,WAS,WR,77
Brett Favre,NYJ,QB,78
Nate Burleson,SEA,WR,79
Fred Taylor,JAC,RB,80
Ricky Williams,MIA,RB,81
David Garrard,JAC,QB,82
DeAngelo Williams,CAR,RB,83
Joey Galloway,TBB,WR,84
Bernard Berrian,MIN,WR,85
Rudi Johnson,DET,RB,86
Patrick Crayton,DAL,WR,87
Anthony Gonzalez,IND,WR,88
Philip Rivers,SDC,QB,89
Marc Bulger,STL,QB,90
Rashard Mendenhall,PIT,RB,91
Chris Johnson,TEN,RB,92
Todd Heap,BAL,TE,93
Vernon Davis,SFO,TE,94
Kevin Curtis,PHI,WR,95
Matt Schaub,HOU,QB,96
Heath Miller,PIT,TE,97
Felix Jones,DAL,RB,98
Chester Taylor,MIN,RB,99
Jake Delhomme,CAR,QB,100
Chris Perry,CIN,RB,101
Nick Folk,DAL,PK,102
Owen Daniels,HOU,TE,103
Donte' Stallworth,CLE,WR,104
Reggie Brown,PHI,WR,105
Aaron Rodgers,GBP,QB,106
Ted Ginn Jr.,MIA,WR,107
Derrick Mason,BAL,WR,108
Stephen Gostkowski,NEP,PK,109
Jon Kitna,DET,QB,110
Tony Scheffler,DEN,TE,111
Justin Fargas,OAK,RB,112
Vincent Jackson,SDC,WR,113
Javon Walker,OAK,WR,114
Ray Rice,BAL,RB,115
Vince Young,TEN,QB,116
Deuce McAllister,NOS,RB,117
Bobby Engram,SEA,WR,118
Kurt Warner,ARI,QB,119
Adam Vinatieri,IND,PK,120
Alge Crumpler,TEN,TE,121
Ahman Green,HOU,RB,122
Jason Campbell,WAS,QB,123
Jerry Porter,JAC,WR,124
DeSean Jackson,PHI,WR,125
Reggie Williams,JAC,WR,126
Sidney Rice,MIN,WR,127
Ahmad Bradshaw,NYG,RB,128
Devin Hester,CHI,WR,129
Nate Kaeding,SDC,PK,130
Steve Slaton,HOU,RB,131
Isaac Bruce,SFO,WR,132
Kenny Watson,CIN,RB,133
Maurice Morris,SEA,RB,134
Jerious Norwood,ATL,RB,135
Ben Watson,NEP,TE,136
Bryant Johnson,SFO,WR,137
Matt Leinart,ARI,QB,138
Mason Crosby,GBP,PK,139
Rob Bironas,TEN,PK,140
D.J. Hackett,CAR,WR,141
Shayne Graham,CIN,PK,142
Greg Olsen,CHI,TE,143
Robert Meachem,NOS,WR,144
Ronald Curry,OAK,WR,145
L.J. Smith,PHI,TE,146
Zach Miller,OAK,TE,147
James Hardy,BUF,WR,148
Kevin Walter,HOU,WR,149
JaMarcus Russell,OAK,QB,150
Jeff Garcia,TBB,QB,151
Josh Brown,STL,PK,152
Jabar Gaffney,NEP,WR,153
Chris Brown,HOU,RB,154
Donald Lee,GBP,TE,155
Pierre Thomas,NOS,RB,156
Kevin Boss,NYG,TE,157
Justin Gage,TEN,WR,158
Leon Washington,NYJ,RB,159
Tim Hightower,ARI,RB,160
Eddie Royal,DEN,WR,161
Tarvaris Jackson,MIN,QB,162
Trent Edwards,BUF,QB,163
Robbie Gould,CHI,PK,164
Muhsin Muhammad,CAR,WR,165
Kevin Jones,CHI,RB,166
Matt Ryan,ATL,QB,167
Ladell Betts,WAS,RB,168
Brandon Jackson,GBP,RB,169
Andre Hall,DEN,RB,170
Deion Branch,SEA,WR,171
J.T. O'Sullivan,SFO,QB,172
Randy McMichael,STL,TE,173
Phil Dawson,CLE,PK,174
Antwaan Randle El,WAS,WR,175
Dustin Keller,NYJ,TE,176
Drew Bennett,STL,WR,177
Warrick Dunn,TBB,RB,178
Josh Scobee,JAC,PK,179
Ben Utecht,CIN,TE,180
Mark Clayton,BAL,WR,181
Amani Toomer,NYG,WR,182
Ryan Torain,DEN,RB,183
Chad Pennington,MIA,QB,184
Tatum Bell,DEN,RB,185
Chris Henry,CIN,WR,186
Steve Smith,NYG,WR,187
Dominic Rhodes,IND,RB,188
Limas Sweed,PIT,WR,189
Neil Rackers,ARI,PK,190
David Akers,PHI,PK,191
Darrell Jackson,DEN,WR,192
Ryan Longwell,MIN,PK,193
Jeff Reed,PIT,PK,194
Sammy Morris,NEP,RB,195
Kris Brown,HOU,PK,196
Jason Hanson,DET,PK,197
Derrick Ward,NYG,RB,198
Darren Sproles,SDC,RB,199
Lamont Jordan,NEP,RB,200
David Patten,NOS,WR,201
James Jones,GBP,WR,202
De'shaun Foster,SFO,RB,203
Fred Jackson,BUF,RB,204
