player_name,team,position,player_pick,year
Ladainian Tomlinson,SDC,RB,1,2008
Adrian Peterson,MIN,RB,2,2008
Brian Westbrook,PHI,RB,3,2008
Tom Brady,NEP,QB,4,2008
Joseph Addai,IND,RB,5,2008
Steven Jackson,STL,RB,6,2008
Randy Moss,NEP,WR,7,2008
Marion Barber,DAL,RB,8,2008
Frank Gore,SFO,RB,9,2008
Peyton Manning,IND,QB,10,2008
Clinton Portis,WAS,RB,11,2008
Marshawn Lynch,BUF,RB,12,2008
Terrell Owens,DAL,WR,13,2008
Tony Romo,DAL,QB,14,2008
Reggie Wayne,IND,WR,15,2008
Larry Johnson,KCC,RB,16,2008
Braylon Edwards,CLE,WR,17,2008
Drew Brees,NOS,QB,18,2008
Maurice Jones-Drew,JAC,RB,19,2008
Larry Fitzgerald,ARI,WR,20,2008
Ryan Grant,GBP,RB,21,2008
Andre Johnson,HOU,WR,22,2008
Marques Colston,NOS,WR,23,2008
T.J. Houshmandzadeh,CIN,WR,24,2008
Reggie Bush,NOS,RB,25,2008
Jamal Lewis,CLE,RB,26,2008
Willis McGahee,BAL,RB,27,2008
Carson Palmer,CIN,QB,28,2008
Steve Smith,CAR,WR,29,2008
Plaxico Burress,NYG,WR,30,2008
Chad Ocho Cinco,CIN,WR,31,2008
Ben Roethlisberger,PIT,QB,32,2008
Wes Welker,NEP,WR,33,2008
Torry Holt,STL,WR,34,2008
Darren McFadden,OAK,RB,35,2008
Brandon Jacobs,NYG,RB,36,2008
Laurence Maroney,NEP,RB,37,2008
Willie Parker,PIT,RB,38,2008
Jason Witten,DAL,TE,39,2008
Brandon Marshall,DEN,WR,40,2008
Anquan Boldin,ARI,WR,41,2008
Michael Turner,ATL,RB,42,2008
Santonio Holmes,PIT,WR,43,2008
Antonio Gates,SDC,TE,44,2008
Calvin Johnson,DET,WR,45,2008
Roy Williams,DAL,WR,46,2008
Earnest Graham,TBB,RB,47,2008
Thomas Jones,NYJ,RB,48,2008
Derek Anderson,CLE,QB,49,2008
Kellen Winslow,CLE,TE,50,2008
Donovan McNabb,PHI,QB,51,2008
Greg Jennings,GBP,WR,52,2008
Marvin Harrison,IND,WR,53,2008
Jerricho Cotchery,NYJ,WR,54,2008
Edgerrin James,ARI,RB,55,2008
Tony Gonzalez,KCC,TE,56,2008
Dallas Clark,IND,TE,57,2008
Selvin Young,DEN,RB,58,2008
Matt Hasselbeck,SEA,QB,59,2008
Ronnie Brown,MIA,RB,60,2008
Hines Ward,PIT,WR,61,2008
Lee Evans,BUF,WR,62,2008
Jonathan Stewart,CAR,RB,63,2008
Laveranues Coles,NYJ,WR,64,2008
Dwayne Bowe,KCC,WR,65,2008
Jay Cutler,DEN,QB,66,2008
LenDale White,TEN,RB,67,2008
Chris Cooley,WAS,TE,68,2008
Roddy White,ATL,WR,69,2008
Matt Forte,CHI,RB,70,2008
Chris Chambers,SDC,WR,71,2008
Kevin Smith,DET,RB,72,2008
Jeremy Shockey,NOS,TE,73,2008
Julius Jones,SEA,RB,74,2008
Eli Manning,NYG,QB,75,2008
Donald Driver,GBP,WR,76,2008
Santana Moss,WAS,WR,77,2008
Brett Favre,NYJ,QB,78,2008
Nate Burleson,SEA,WR,79,2008
Fred Taylor,JAC,RB,80,2008
Ricky Williams,MIA,RB,81,2008
David Garrard,JAC,QB,82,2008
DeAngelo Williams,CAR,RB,83,2008
Joey Galloway,TBB,WR,84,2008
Bernard Berrian,MIN,WR,85,2008
Rudi Johnson,DET,RB,86,2008
Patrick Crayton,DAL,WR,87,2008
Anthony Gonzalez,IND,WR,88,2008
Philip Rivers,SDC,QB,89,2008
Marc Bulger,STL,QB,90,2008
Rashard Mendenhall,PIT,RB,91,2008
Chris Johnson,TEN,RB,92,2008
Todd Heap,BAL,TE,93,2008
